----------------------------------------------------------------------final-----------------------------------------------------
nohup: ignoring input
--------Train with SVRG replay--------
[Seq 1, Epoch 10] val accuracy: 0.72 (306 / 423), avg loss: 0.47, best epoch: 9 .
[Seq 1, Epoch 20] val accuracy: 0.75 (318 / 423), avg loss: 0.40, best epoch: 19 .
[Seq 1, Epoch 30] val accuracy: 0.76 (321 / 423), avg loss: 0.36, best epoch: 24 .
[Seq 1, Epoch 40] val accuracy: 0.77 (326 / 423), avg loss: 0.30, best epoch: 39 .
[Seq 1, Epoch 50] val accuracy: 0.77 (324 / 423), avg loss: 0.26, best epoch: 44 .
[Seq 1, Epoch 60] val accuracy: 0.77 (324 / 423), avg loss: 0.21, best epoch: 44 .
[Seq 1, Epoch 70] val accuracy: 0.77 (325 / 423), avg loss: 0.18, best epoch: 44 .
[Seq 1, Epoch 80] val accuracy: 0.78 (329 / 423), avg loss: 0.14, best epoch: 44 .
[Seq 1, Epoch 90] val accuracy: 0.77 (325 / 423), avg loss: 0.11, best epoch: 44 .
[Seq 1, Epoch 100] val accuracy: 0.77 (325 / 423), avg loss: 0.09, best epoch: 44 .
i finish
test accuracy: 0.784 (7111 / 9069).
Current test acc : 0.784, Best previous test acc : 0.784
!sample done!
!update history done!
[Seq 2, Epoch 1] val accuracy: 0.74 (312 / 423), avg loss: 0.52, best epoch: 0 .
[Seq 2, Epoch 2] val accuracy: 0.75 (317 / 423), avg loss: 0.49, best epoch: 0 .
[Seq 2, Epoch 3] val accuracy: 0.74 (315 / 423), avg loss: 0.49, best epoch: 2 .
[Seq 2, Epoch 4] val accuracy: 0.76 (321 / 423), avg loss: 0.48, best epoch: 2 .
[Seq 2, Epoch 5] val accuracy: 0.75 (319 / 423), avg loss: 0.47, best epoch: 2 .
[Seq 2, Epoch 6] val accuracy: 0.75 (319 / 423), avg loss: 0.47, best epoch: 2 .
[Seq 2, Epoch 7] val accuracy: 0.75 (318 / 423), avg loss: 0.46, best epoch: 2 .
[Seq 2, Epoch 8] val accuracy: 0.76 (323 / 423), avg loss: 0.45, best epoch: 2 .
[Seq 2, Epoch 9] val accuracy: 0.78 (328 / 423), avg loss: 0.44, best epoch: 2 .
[Seq 2, Epoch 10] val accuracy: 0.76 (322 / 423), avg loss: 0.44, best epoch: 2 .
[Seq 2, Epoch 11] val accuracy: 0.75 (319 / 423), avg loss: 0.43, best epoch: 10 .
[Seq 2, Epoch 12] val accuracy: 0.75 (316 / 423), avg loss: 0.43, best epoch: 10 .
[Seq 2, Epoch 13] val accuracy: 0.76 (322 / 423), avg loss: 0.43, best epoch: 12 .
[Seq 2, Epoch 14] val accuracy: 0.76 (322 / 423), avg loss: 0.42, best epoch: 12 .
[Seq 2, Epoch 15] val accuracy: 0.76 (321 / 423), avg loss: 0.41, best epoch: 12 .
